Time (sec),Force (lb),EE (in/in),Stress (psi),"Stress, Corr. (psi)"
22.7395500727,0.0806,0.280454450897,6.448,8.25637029938
22.8015500727,0.08027,0.281219117563,6.4216,8.22747668535
22.8635500727,0.07993,0.28198378423,6.3944,8.19751710988
22.9255500727,0.08049,0.282748450897,6.4392,8.25987382501
22.9875500727,0.08027,0.283513117563,6.4216,8.24220783575
23.0495500727,0.08049,0.28427778423,6.4392,8.26972150821
23.1115500727,0.08038,0.285042450897,6.4304,8.26333697625
23.1735500727,0.07982,0.285807117563,6.3856,8.21064992991
23.2355500727,0.07982,0.28657178423,6.3856,8.21553278538
23.2975500727,0.07993,0.287336450897,6.3944,8.23174420161
23.3595500727,0.07937,0.288101117563,6.3496,8.17892685608
23.4215500727,0.07937,0.28886578423,6.3496,8.18378218355
23.4835500727,0.0788,0.289630450897,6.304,8.12983036245
23.5455500727,0.07835,0.290395117563,6.268,8.08819659689
23.6075500727,0.07723,0.29115978423,6.1784,7.97730161089
23.6695500727,0.07689,0.291924450897,6.1512,7.94688568236
23.7315500727,0.07656,0.292689117563,6.1248,7.91746230725
23.7935500727,0.07611,0.29345378423,6.0888,7.87558140142
23.8555500727,0.07633,0.294218450897,6.1064,7.90301554856
23.9175500727,0.07577,0.294983117563,6.0616,7.84966966542
23.9795500727,0.07588,0.29574778423,6.0704,7.86570734939
24.0415500727,0.07611,0.296512450897,6.0888,7.89420501102
24.1035500727,0.07588,0.297277117563,6.0704,7.87499101446
24.1655500727,0.07588,0.29804178423,6.0704,7.87963284699
24.2275500727,0.07667,0.298806450897,6.1336,7.96635924722
24.2895500727,0.07656,0.299571117563,6.1248,7.95961318085
24.3515500727,0.07667,0.30033578423,6.1336,7.97573956615
24.4135500727,0.07622,0.301100450897,6.0976,7.93359010939
24.4755500727,0.07644,0.301865117563,6.1152,7.96116556692
24.5375500727,0.07656,0.30262978423,6.1248,7.97834690245
24.5995500727,0.07667,0.303394450897,6.1336,7.99450020402
24.6615500727,0.07678,0.304159117563,6.1424,8.01066696372
24.7235500727,0.07656,0.30492378423,6.1248,7.99239719365
24.7855500727,0.07667,0.305688450897,6.1336,8.00857068242
24.8475500727,0.07701,0.306453117563,6.1608,8.04879636668
24.9095500727,0.07712,0.30721778423,6.1696,8.06501084159
24.9715500727,0.07712,0.307982450897,6.1696,8.06972852905
25.0335500727,0.07768,0.308747117563,6.2144,8.13307808739
